Code_ID,Timestamp,Interval_s,Num_Transactions,Time_Min,Time_Max,Mean_Time,Num_Retries,Num_Wrong_Transactions
8,2024-06-01 07:01:11,60,248,3,28,15.97,0,90
8,2024-06-01 07:02:11,60,277,4,282,143.39000000000001,0,90
8,2024-06-01 07:03:11,60,260,4,28,16.065,1,89
8,2024-06-01 07:04:11,60,307,3,131,67.955,0,90
8,2024-06-01 07:05:11,60,275,3,28,16.354893521118917,0,91
8,2024-06-01 07:06:11,60,297,4,958,481.51500000000004,1,91
8,2024-06-01 07:07:11,60,393,4,28,16.055,0,89
8,2024-06-01 07:08:12,60,275,2,43,23.020000000000003,1,95
8,2024-06-01 07:09:12,60,305,3,28,15.575,1,91
8,2024-06-01 07:10:12,60,320,3,811,407.44,0,94
8,2024-06-01 07:11:12,60,387,2,28,15.42,0,89
8,2024-06-01 07:12:12,60,388,3,28,15.515,0,91
8,2024-06-01 07:13:12,60,571,3,751,377.825,0,92
8,2024-06-01 07:14:12,60,570,3,623,313.825,1,91
8,2024-06-01 07:15:12,60,782,2,340,171.46038980280417,0,91
8,2024-06-01 07:16:12,60,781,3,28,15.937540922275488,1,92
8,2024-06-01 07:17:12,60,423,3,28,15.99,0,91
8,2024-06-01 07:18:12,60,424,3,28,15.985,0,89
8,2024-06-01 07:19:12,60,396,2,28,15.49,0,90
8,2024-06-01 07:20:12,60,396,3,1145,574.3412354728414,1,88
8,2024-06-01 07:21:12,60,375,4,28,16.0,0,88
8,2024-06-01 07:22:12,60,377,3,1029,516.575,0,87
8,2024-06-01 07:23:12,60,360,4,425,214.82999999999998,0,91
8,2024-06-01 07:24:12,60,361,3,28,15.97,1,91
8,2024-06-01 07:25:12,60,346,3,484,244.0969394804606,1,106
8,2024-06-01 07:26:12,60,347,4,427,215.99,1,105
8,2024-06-01 07:27:12,60,456,3,550,277.2775846383117,1,107
8,2024-06-01 07:28:12,60,456,3,28,15.97,0,108
8,2024-06-01 07:29:12,60,434,3,30,16.96929215529956,0,90
8,2024-06-01 07:30:13,60,435,3,1490,746.6982009068906,0,92
8,2024-06-01 07:31:13,60,335,2,1157,580.4,0,101
8,2024-06-01 07:32:13,60,333,3,27,15.038050267657004,0,99
8,2024-06-01 07:33:13,60,466,1,566,284.1674324519361,0,106
8,2024-06-01 07:34:13,60,464,2,28,15.04,0,105
8,2024-06-01 07:35:13,60,363,2,28,15.444904196556204,1,92
8,2024-06-01 07:36:13,60,363,2,713,357.9696008581206,0,92
8,2024-06-01 07:37:13,60,396,3,28,16.200374247650025,1,98
8,2024-06-01 07:38:13,60,398,3,28,15.96,0,99
8,2024-06-01 07:39:13,60,386,3,27,15.81556363264741,1,93
8,2024-06-01 07:40:13,60,386,4,28,16.02,1,92
8,2024-06-01 07:41:13,60,470,2,28,15.44,0,106
8,2024-06-01 07:42:13,60,470,2,160,81.52000000000001,1,106
